Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹52.6 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1073 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,2,,
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹55.5 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1132 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,2,,
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹55.5 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1133 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,2,,
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹55.6 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1135 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,2,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹80.7 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1647 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,3,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹81 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1653 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,3,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹81 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1654 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,3,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹84 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1715 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,3,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹87.3 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1781 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,3,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹1 Cr,Mahaveer Northscape,11+,₹6523 per sqft,Super Area,1533 sqft,Under Construction,Poss. by Dec '25,Floor,6 out of 8,Transaction,New Property,Furnishing,Unfurnished,,,,,,,Bathroom,2,Balcony,2
